#LINK
#lang	ja
#attribution_url	https://ja.wikipedia.org/wiki/%E7%99%BE%E4%BA%BA%E4%B8%80%E9%A6%96
#attribution_name	小雀
#license	http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#file_name	hyakuninisshu_data
#download_from	http://linkdata.org/work/rdf1s5297i
#property	上の句	上の句カナ	下の句	下の句カナ	作者
#object_type_xsd	string:ja	string:ja	string:ja	string:ja	string:ja
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
65	恨みわび　ほさぬ袖だに　あるものを	ウラミワビ　ホサヌソデダニ　アルモノオ	恋に朽ちなむ　名こそ惜しけれ	コイニクチナン　ナコソオシケレ	相模
66	もろともに　あはれと思へ　山桜	モロトモニ　アワレトオモエ　ヤマザクラ	花よりほかに　知る人もなし	ハナヨリホカニ　シルヒトモナシ	前大僧正行尊
67	春の夜の　夢ばかりなる　手枕に	ハルノヨノ　ユメバカリナル　タマクラニ	かひなく立たむ　名こそ惜しけれ	カイナクタタン　ナコソオシケレ	周防内侍
68	心にも　あらでうき世に　ながらへば	ココロニモ　アラデウキヨニ　ナガラエバ	恋しかるべき　夜半の月かな	コイシカルベキ　ヨワノツキカナ	三条院
69	嵐吹く　み室の山の　もみぢ葉は	アラシフク　ミムロノヤマノ　モミジバワ	竜田の川の　錦なりけり	タツタノカワノ　ニシキナリケリ	能因法師
70	さびしさに　宿を立ち出でて　ながむれば	サビシサニ　ヤドオタチイデテ　ナガムレバ	いづこも同じ　秋の夕暮れ	イズクモオナジ　アキノユーグレ	良暹法師
71	夕されば　門田の稲葉　おとづれて	ユーサレバ　カドタノイナバ　オトズレテ	芦のまろやに　秋風ぞ吹く	アシノマロヤニ　アキカゼゾフク	大納言経信
72	音に聞く　高師の浜の　あだ波は	オトニキク　タカシノハマノ　アダナミワ	かけじや袖の　ぬれもこそすれ	カケジヤソデノ　ヌレモコソスレ	祐子内親王家紀伊
73	高砂の　尾の上の桜　咲きにけり	タカサゴノ　オノエノサクラ　サキニケリ	外山の霞　立たずもあらなむ	トヤマノカスミ　タタズモアラナン	権中納言匡房
74	憂かりける　人を初瀬の　山おろしよ	ウカリケル　ヒトオハツセノ　ヤマオロシヨ	はげしかれとは　祈らぬものを	ハゲシカレトワ　イノラヌモノオ	源俊頼朝臣
75	契りおきし　させもが露を　命にて	チギリオキシ　サセモガツユオ　イノチニテ	あはれ今年の　秋もいぬめり	アワレコトシノ　アキモイヌメリ	藤原基俊
76	わたの原　漕ぎ出でて見れば　ひさかたの	ワタノハラ　コギイデテミレバ　ヒサカタノ	雲居にまがふ　沖つ白波	クモイニマゴー　オキツシラナミ	法性寺入道前関白太政大臣
77	瀬をはやみ　岩にせかるる　滝川の	セオハヤミ　イワニセカルル　タキガワノ	われても末に　あはむとぞ思ふ	ワレテモスエニ　アワントゾオモー	崇徳院
78	淡路島　かよふ千鳥の　鳴く声に	アワジシマ　カヨーチドリノ　ナクコエニ	いく夜寝覚めぬ　須磨の関守	イクヨネザメヌ　スマノセキモリ	源兼昌
79	秋風に　たなびく雲の　絶え間より	アキカゼニ　タナビククモノ　タエマヨリ	もれ出づる月の　影のさやけさ	モレイズルツキノ　カゲノサヤケサ	左京大夫顕輔
80	長からむ　心も知らず　黒髪の	ナガカラン　ココロモシラズ　クロカミノ	乱れて今朝は　物をこそ思へ	ミダレテケサワ　モノオコソオモエ	待賢門院堀河
81	ほととぎす　鳴きつる方を　ながむれば	ホトトギス　ナキツルカタオ　ナガムレバ	ただ有明の　月ぞ残れる	タダアリアケノ　ツキゾノコレル	後徳大寺左大臣
82	思ひわび　さても命は　あるものを	オモイワビ　サテモイノチワ　アルモノオ	憂きにたへぬは　涙なりけり	ウキニタエヌハ　ナミダナリケリ	道因法師
83	世の中よ　道こそなけれ　思ひ入る	ヨノナカヨ　ミチコソナケレ　オモイイル	山の奥にも　鹿ぞ鳴くなる	ヤマノオクニモ　シカゾナクナル	皇太后宮大夫俊成
84	長らへば　またこのごろや　しのばれむ	ナガラエバ　マタコノゴロヤ　シノバレン	憂しと見し世ぞ　今は恋しき	ウシトミシヨゾ　イマワコイシキ	藤原清輔朝臣
85	夜もすがら　物思ふころは　明けやらで	ヨモスガラ　モノオモーコロワ　アケヤラデ	閨のひまさへ　つれなかりけり	ネヤノヒマサエ　ツレナカリケリ	俊恵法師
86	嘆けとて　月やは物を　思はする	ナゲケトテ　ツキヤワモノオ　オモワスル	かこち顔なる　わが涙かな	カコチガオナル　ワガナミダカナ	西行法師
87	村雨の　露もまだひぬ　真木の葉に	ムラサメノ　ツユモマダヒヌ　マキノハニ	霧立ちのぼる　秋の夕暮れ	キリタチノボル　アキノユーグレ	寂蓮法師
88	難波江の　芦のかりねの　ひとよゆゑ	ナニワエノ　アシノカリネノ　ヒトヨユエ	みをつくしてや　恋ひわたるべき	ミオツクシテヤ　コイワタルベキ	皇嘉門院別当
89	玉の緒よ　絶えなば絶えね　ながらへば	タマノオヨ　タエナバタエネ　ナガラエバ	忍ぶることの　よわりもぞする	シノブルコトノ　ヨワリモゾスル	式子内親王
90	見せばやな　雄島のあまの　袖だにも	ミセバヤナ　オジマノアマノ　ソデダニモ	ぬれにぞぬれし　色はかはらず	ヌレニゾヌレシ　イロワカワラズ	殷富門院大輔
91	きりぎりす　鳴くや霜夜の　さむしろに	キリギリス　ナクヤシモヨノ　サムシロニ	衣かたしき　ひとりかも寝む	コロモカタシキ　ヒトリカモネン	後京極摂政前太政大臣
92	わが袖は　潮干に見えぬ　沖の石の	ワガソデワ　シオヒニミエヌ　オキノイシノ	人こそ知らね　かわく間もなし	ヒトコソシラネ　カワクマモナシ	二条院讃岐
93	世の中は　常にもがもな　渚こぐ	ヨノナカワ　ツネニモガモナ　ナギサコグ	あまの小舟の　綱手かなしも	アマノオブネノ　ツナデカナシモ	鎌倉右大臣
94	み吉野の　山の秋風　さ夜更けて	ミヨシノノ　ヤマノアキカゼ　サヨフケテ	ふるさと寒く　衣うつなり	フルサトサムク　コロモウツナリ	参議雅経
95	おほけなく　うき世の民に　おほふかな	オオケナク　ウキヨノタミニ　オオーカナ	わが立つ杣に　墨染の袖	ワガタツソマニ　スミゾメノソデ	前大僧正慈円
96	花さそふ　嵐の庭の　雪ならで	ハナサソー　アラシノニワノ　ユキナラデ	ふりゆくものは　わが身なりけり	フリユクモノワ　ワガミナリケリ	入道前太政大臣
97	来ぬ人を　まつほの浦の　夕なぎに	コヌヒトオ　マツオノウラノ　ユーナギニ	焼くや藻塩の　身もこがれつつ	ヤクヤモシオノ　ミモコガレツツ	権中納言定家
98	風そよぐ　ならの小川の　夕暮れは	カゼソヨグ　ナラノオガワノ　ユーグレワ	みそぎぞ夏の　しるしなりける	ミソギゾナツノ　シルシナリケル	従二位家隆
99	人も惜し　人も恨めし　あぢきなく	ヒトモオシ　ヒトモウラメシ　アジキナク	世を思ふゆゑに　物思ふ身は	ヨオオモーユエニ　モノオモーミワ	後鳥羽院
100	ももしきや　古き軒端の　しのぶにも	モモシキヤ　フルキノキバノ　シノブニモ	なほあまりある　昔なりけり	ナオアマリアル　ムカシナリケリ	順徳院
